run_id,test_case,expected_response,observed_response,success,operation_executed,response_time_ms,error_message,timestamp
1,valid_jwt,202 Accepted,200,True,True,20.515745985903777,,2026-06-05T17:19:01.835378
2,valid_jwt,202 Accepted,200,True,True,9.360879004816525,,2026-06-05T17:19:02.345180
3,valid_jwt,202 Accepted,200,True,True,9.031032008351758,,2026-06-05T17:19:02.855035
4,valid_jwt,202 Accepted,200,True,True,8.963522006524727,,2026-06-05T17:19:03.364832
5,valid_jwt,202 Accepted,200,True,True,10.091282005305402,,2026-06-05T17:19:03.875785
6,invalid_jwt,401 Unauthorized,401,True,False,4.467785998713225,,2026-06-05T17:19:04.381044
7,invalid_jwt,401 Unauthorized,401,True,False,3.9532770024379715,,2026-06-05T17:19:04.885753
8,invalid_jwt,401 Unauthorized,401,True,False,3.8626549940090626,,2026-06-05T17:19:05.390390
9,invalid_jwt,401 Unauthorized,401,True,False,4.0608080016681924,,2026-06-05T17:19:05.895213
10,invalid_jwt,401 Unauthorized,401,True,False,4.033257995615713,,2026-06-05T17:19:06.400012
11,expired_jwt,401 Unauthorized,401,True,False,3.8926759880268946,,2026-06-05T17:19:06.905063
12,expired_jwt,401 Unauthorized,401,True,False,3.817124990746379,,2026-06-05T17:19:07.409637
13,expired_jwt,401 Unauthorized,401,True,False,3.8169540057424456,,2026-06-05T17:19:07.914218
14,expired_jwt,401 Unauthorized,401,True,False,4.078578989719972,,2026-06-05T17:19:08.419054
15,expired_jwt,401 Unauthorized,401,True,False,3.9356269990094006,,2026-06-05T17:19:08.923743
16,missing_jwt,401 Unauthorized,401,True,False,3.4580089995870367,,2026-06-05T17:19:09.427995
17,missing_jwt,401 Unauthorized,401,True,False,3.4183259995188564,,2026-06-05T17:19:09.932153
18,missing_jwt,401 Unauthorized,401,True,False,3.087292003328912,,2026-06-05T17:19:10.435996
19,missing_jwt,401 Unauthorized,401,True,False,3.6961320001864806,,2026-06-05T17:19:10.940473
20,missing_jwt,401 Unauthorized,401,True,False,3.615111010731198,,2026-06-05T17:19:11.444862
